number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
35,1.7618679348539623,2026-02-12 23:44:39.568175,2026-02-12 23:45:08.293546,0 days 00:00:28.725371,0.5014680271158636,638,4.625968190346867,lossguide,0.007753559774905326,10,6,95.0,0.7593379975853042,0.7730402937920027,99.86860754397908,0.8351508117246875,COMPLETE
36,1.766607196203283,2026-02-12 23:44:46.443370,2026-02-12 23:45:12.048113,0 days 00:00:25.604743,0.7052835167284475,609,5.176640346249821,lossguide,0.007753570274951005,10,6,105.0,0.8848481381030756,0.45168803166188387,1.8071135012347044,0.8446304419513004,PRUNED
37,1.7764201720257013,2026-02-12 23:44:48.390542,2026-02-12 23:45:08.436891,0 days 00:00:20.046349,0.7039083334496739,632,5.245409180032173,lossguide,0.024783550667878355,10,6,98.0,0.8324155553910142,1.1857594716132591,2.138864572314789,0.8327537270352596,PRUNED
38,1.767936289415307,2026-02-12 23:44:49.988921,2026-02-12 23:45:15.469485,0 days 00:00:25.480564,0.5669056852351538,613,4.866631984219935,lossguide,0.008121731875009685,10,6,107.0,0.8201193700656366,8.784573918641873e-08,1.8214835229709685,0.8438254724858045,PRUNED
39,1.7617589667038969,2026-02-12 23:44:55.551424,2026-02-12 23:45:22.169706,0 days 00:00:26.618282,0.5705416479086854,625,4.93177719936614,lossguide,0.008912961400598308,9,6,91.0,0.8135130630842581,7.709825483674629e-08,91.21288071602903,0.8473754140841343,COMPLETE
40,1.7679722441017731,2026-02-12 23:45:00.655177,2026-02-12 23:45:25.922930,0 days 00:00:25.267753,0.5849638894027248,611,2.9727900743227704,lossguide,0.008607899597901847,9,6,92.0,0.41079054847680874,1.1765033867360557e-07,3.8281583969617543,0.9238203872211455,PRUNED
41,1.760733102033833,2026-02-12 23:45:00.759049,2026-02-12 23:45:26.907929,0 days 00:00:26.148880,0.5615842480155416,624,3.0534898636637404,lossguide,0.008897829307520934,9,6,90.0,0.46892879633749407,1.906785139790253e-07,79.05957498376218,0.9368174452606588,COMPLETE
42,1.7707749830360018,2026-02-12 23:45:05.989735,2026-02-12 23:45:25.831108,0 days 00:00:19.841373,0.5631245039989159,233,3.2878633258686234,lossguide,0.022108746201002748,9,6,78.0,0.47098443426245024,2.194632791382377e-07,2.1938797236634624,0.9401030377189928,PRUNED
43,1.7722308622450076,2026-02-12 23:45:08.361175,2026-02-12 23:45:27.918973,0 days 00:00:19.557798,0.571442896293186,222,2.934128341021485,lossguide,0.023288689367412938,9,6,83.0,0.4930738011947025,8.626083234042386e-08,2.7717449941217795,0.9337581687587061,PRUNED
44,1.7646197849993994,2026-02-12 23:45:08.511008,2026-02-12 23:45:31.028790,0 days 00:00:22.517782,0.5598424965874156,221,3.1578071334226374,lossguide,0.01933434915626647,9,8,216.0,0.44471542732836744,2.0203217991068616e-07,37.796822874509076,0.9420651501862667,COMPLETE
45,1.801709917577341,2026-02-12 23:45:12.137515,2026-02-12 23:45:40.297884,0 days 00:00:28.160369,0.5570393555689543,293,3.128929950896426,lossguide,0.021591764095312983,9,8,214.0,46.69140073291876,7.37439542742349e-08,35.27248220416996,0.7909929816393875,PRUNED
46,1.8068597827160193,2026-02-12 23:45:15.559000,2026-02-12 23:45:44.548063,0 days 00:00:28.989063,0.5962060321825681,216,2.766086142754824,lossguide,0.019799498304624158,9,8,214.0,46.10803609367465,3.429210713063442e-07,4.772032193075426,0.792480000852692,PRUNED
47,1.7686781321795162,2026-02-12 23:45:22.253880,2026-02-12 23:45:42.860743,0 days 00:00:20.606863,0.5963992430736291,268,5.796621392274945,depthwise,0.019805460873893736,8,8,,0.4637608257129023,4.387926494159961e-07,30.073239995461858,0.7970110074092283,PRUNED
48,1.7586893538336001,2026-02-12 23:45:25.913313,2026-02-12 23:45:46.808824,0 days 00:00:20.895511,0.5940048024294875,750,9.319745349307386,depthwise,0.01881665871362807,8,8,,0.5158351775434108,5.571463273566578e-07,31.6621382398227,0.7672276300483647,COMPLETE
49,1.7584507662518862,2026-02-12 23:45:26.015969,2026-02-12 23:45:45.119746,0 days 00:00:19.103777,0.53201225632648,749,9.181064524851916,depthwise,0.01924252120613933,8,8,,2.361571649345107,1.7318630332977793e-08,33.305341737321456,0.7562489103083438,COMPLETE
50,1.75483014446964,2026-02-12 23:45:26.968039,2026-02-12 23:45:49.129734,0 days 00:00:22.161695,0.5386683088617285,204,9.273859177303974,depthwise,0.006171611673133333,8,8,,2.4827130896610408,6.486614275467492e-07,34.8287733184708,0.7877532373431768,COMPLETE
51,1.766180060937427,2026-02-12 23:45:27.988096,2026-02-12 23:45:50.575960,0 days 00:00:22.587864,0.6027132306251379,751,5.9173932510224025,depthwise,0.0137279504908311,8,8,,2.5732178462024318,7.472710345460907e-07,36.03447971555351,0.7669860366625929,PRUNED
52,1.7606600165058688,2026-02-12 23:45:31.113843,2026-02-12 23:45:51.353829,0 days 00:00:20.239986,0.5357367235113939,753,9.562385926900141,depthwise,0.013635832083148568,8,11,,2.5343198402944194,9.314327706042898e-07,7.916724703344465,0.7833485996826818,COMPLETE
53,1.7575958403641014,2026-02-12 23:45:40.362216,2026-02-12 23:46:04.117567,0 days 00:00:23.755351,0.5371054650680028,746,9.476335674536662,depthwise,0.00589884510441076,8,11,,2.8945269714919593,1.57267778300614e-06,9.259721431310064,0.745097987614522,COMPLETE
